word,pos,cefr
admiration,noun,A1
admire,verb,A1
admiringly,adverb,A1
admission,noun,A1
admit,verb,A1
admittedly,adverb,A1
adopt,verb,A1
adopted,adjective,A1
adoption,noun,A1
adorable,adjective,A1
adore,verb,A1
adorn,verb,A1
adult,adjective,A1
adult,noun,A1
advance,noun,A1
advance,verb,A1
advanced,adjective,A1
advancement,noun,A1
advantage,noun,A1
advent,noun,A1
adventure,noun,A1
adventurous,adjective,A1
adverb,noun,A1
adverbial,adjective,A1
adverse,adjective,A1
adversely,adverb,A1
adversity,noun,A1
advert,noun,A1
advertise,verb,A1
advertisement,noun,A1
advertising,noun,A1
advice,noun,A1
advise,verb,A1
adviser/advisor,noun,A1
aerobics,noun,A1
affair,noun,A1
affect,verb,A1
affection,noun,A1
affectionate,adjective,A1
affectionately,adverb,A1
afford,verb,A1
affordable,adjective,A1
afraid,adjective,A1
after,adverb,A1
after,conjunction,A1
after,preposition,A1
afternoon,noun,A1
afterward,adverb,A1
afterwards,adverb,A1
again,adverb,A1
against,preposition,A1
age,noun,A1
aged,adjective,A1
ageless,adjective,A1
agency,noun,A1
agenda,noun,A1
agent,noun,A1
aggressive,adjective,A1
aggressively,adverb,A1
ago,adverb,A1
agonize/agonise,verb,A1
agony,noun,A1
agree,verb,A1
agreement,noun,A1
agricultural,adjective,A1
agriculture,noun,A1
ahead,adverb,A1
aid,noun,A1
aid,verb,A1
aim,noun,A1
aim,verb,A1
air,noun,A1
air conditioning,noun,A1
air force,noun,A1
aircraft,noun,A1
aircrew,noun,A1
airline,noun,A1
airplane/aeroplane,noun,A1
airport,noun,A1
aisle,noun,A1
alarm,noun,A1
alarm,verb,A1
alarm clock,noun,A1
album,noun,A1
alcohol,noun,A1
alcoholic,adjective,A1
alcoholic,noun,A1
alcoholism,noun,A1
alert,verb,A1
alike,adjective,A1
alike,adverb,A1
alive,adjective,A1
all,adverb,A1
all,determiner,A1
all,pronoun,A1
all right,adjective,A1
all right,adverb,A1
allegation,noun,A1
allergic,adjective,A1
alliance,noun,A1
allow,verb,A1
allowance,noun,A1
ally,noun,A1
almost,adverb,A1
alone,adjective,A1
alone,adverb,A1
along,adverb,A1
along,preposition,A1
alongside,preposition,A1
aloud,adverb,A1
alphabet,noun,A1
alphabetical,adjective,A1
already,adverb,A1
alright,adjective,A1
alright,adverb,A1
also,adverb,A1
altar,noun,A1
alter,verb,A1
alternate,verb,A1
alternative,adjective,A1
alternative,noun,A1
alternatively,adverb,A1
although,conjunction,A1
altitude,noun,A1
altogether,adverb,A1
aluminum/aluminium,noun,A1
always,adverb,A1
am,be-verb,A1
amaze,verb,A1
amazed,adjective,A1
amazement,noun,A1
amazing,adjective,A1
amazingly,adverb,A1
ambassador,noun,A1
ambiguity,noun,A1
ambiguous,adjective,A1
ambition,noun,A1
ambitious,adjective,A1
ambulance,noun,A1
ammonia,noun,A1
among,preposition,A1
amongst,preposition,A1
amount,noun,A1
ample,adjective,A1
amplifier,noun,A1
amplify,verb,A1
amuse,verb,A1
amused,adjective,A1
amusement,noun,A1
amusing,adjective,A1
an,determiner,A1
analogy,noun,A1
analysis,noun,A1
analyst,noun,A1
analyze/analyse,verb,A1
ancestor,noun,A1
anchor,noun,A1
anchorage,noun,A1
anchorman,noun,A1
anchorperson,noun,A1
ancient,adjective,A1
and,conjunction,A1
angel,noun,A1
anger,noun,A1
angle,noun,A1
angrily,adverb,A1
angry,adjective,A1
anguish,noun,A1
animal,noun,A1
animate,verb,A1
animated,adjective,A1
animation,noun,A1
ankle,noun,A1
anniversary,noun,A1
announce,verb,A1
announcement,noun,A1
annoy,verb,A1
annoyance,noun,A1
annoyed,adjective,A1
annoying,adjective,A1
annual,adjective,A1
annually,adverb,A1
anonymous,adjective,A1
another,determiner,A1
another,pronoun,A1
answer,noun,A1
answer,verb,A1
ant,noun,A1
anti,adjective,A1
antiaircraft,adjective,A1
antibacterial,adjective,A1
anticancer,noun,A1
anticipate,verb,A1
anticipation,noun,A1
antipollution,noun,A1
antique,adjective,A1
antique,noun,A1
antistatic,adjective,A1
antivirus,noun,A1
antonym,noun,A1
anxiety,noun,A1
anxious,adjective,A1
anxiously,adverb,A1
any,determiner,A1
any,pronoun,A1
anybody,pronoun,A1
anyhow,adverb,A1
anymore,adverb,A1
anyone,pronoun,A1
anything,pronoun,A1
anyway,adverb,A1
anywhere,adverb,A1
apart,adverb,A1
apartment,noun,A1
ape,noun,A1
apologize/apologise,verb,A1
apology,noun,A1
apostrophe,noun,A1
apparent,adjective,A1
apparently,adverb,A1
appeal,noun,A1
appeal,verb,A1
appear,verb,A1
appearance,noun,A1
appetite,noun,A1
applaud,verb,A1
applause,noun,A1
apple,noun,A1
applicant,noun,A1
application,noun,A1
apply,verb,A1
appoint,verb,A1
appointment,noun,A1
appreciate,verb,A1
appreciation,noun,A1
appreciative,adjective,A1
approach,noun,A1
approach,verb,A1
appropriate,adjective,A1
appropriately,adverb,A1
approval,noun,A1
approve,verb,A1
approximate,adjective,A1
approximately,adverb,A1
April,noun,A1
apron,noun,A1
arch,noun,A1
archaeologist/archeologist,noun,A1
architect,noun,A1
architecture,noun,A1
arctic,adjective,A1
are,be-verb,A1
area,noun,A1
arena,noun,A1
argue,verb,A1
argument,noun,A1
arise,verb,A1
aristocracy,noun,A1
arithmetic,noun,A1
arm,noun,A1
arm,verb,A1
armchair,noun,A1
armed,adjective,A1
armful,noun,A1
army,noun,A1
around,adverb,A1
around,preposition,A1
arouse,verb,A1
arrange,verb,A1
arrangement,noun,A1
arrest,noun,A1
arrest,verb,A1
arrival,noun,A1
arrive,verb,A1
arrogant,adjective,A1
arrow,noun,A1
art,noun,A1
artery,noun,A1
article,noun,A1
articulate,verb,A1
artificial,adjective,A1
artificially,adverb,A1
artist,noun,A1
artistic,adjective,A1
artistry,noun,A1
as,conjunction,A1
as,preposition,A1
ash,noun,A1
ashamed,adjective,A1
aside,adverb,A1
ask,verb,A1
asleep,adjective,A1
aspect,noun,A1
aspiration,noun,A1
aspire,verb,A1
aspirin,noun,A1
assault,noun,A1
assemble,verb,A1
assembly,noun,A1
assert,verb,A1
assess,verb,A1
assessment,noun,A1
assign,verb,A1
assignment,noun,A1
assist,verb,A1
assistance,noun,A1
assistant,adjective,A1
assistant,noun,A1
associate,verb,A1
association,noun,A1
assume,verb,A1
assumption,noun,A1
assurance,noun,A1
assure,verb,A1
astonish,verb,A1
astonished,adjective,A1
astonishing,adjective,A1
astonishment,noun,A1
astronaut,noun,A1
astronomer,noun,A1
astronomy,noun,A1
at,preposition,A1
athlete,noun,A1
athletic,adjective,A1
athletics,noun,A1
Atlantic,adjective,A1
atmosphere,noun,A1
atom,noun,A1
atomic,adjective,A1
attach,verb,A1
attached,adjective,A1
attachment,noun,A1
attack,noun,A1
attack,verb,A1
attain,verb,A1
attainable,adjective,A1
attainment,noun,A1
attempt,noun,A1
attempt,verb,A1
attend,verb,A1
attendance,noun,A1
attention,noun,A1
attentive,adjective,A1
attentively,adverb,A1
attitude,noun,A1
attract,verb,A1
attraction,noun,A1
attractive,adjective,A1
attractiveness,noun,A1
attribute,noun,A1
attribute,verb,A1
atypical,adjective,A1
aubergine,noun,A1
audience,noun,A1
audio,adjective,A1
audit,noun,A1
audition,noun,A1
August,noun,A1
aunt,noun,A1
author,noun,A1
authoritative,adjective,A1
authority,noun,A1
authorize/authorise,verb,A1
automatic,adjective,A1
automatically,adverb,A1
autumn,noun,A1
auxiliary,adjective,A1
availability,noun,A1
available,adjective,A1
avenue,noun,A1
average,adjective,A1
average,noun,A1
avoid,verb,A1
await,verb,A1
awake,adjective,A1
award,noun,A1
award,verb,A1
aware,adjective,A1
awareness,noun,A1
away,adverb,A1
awe,noun,A1
awesome,adjective,A1
awful,adjective,A1
awkward,adjective,A1
ax/axe,noun,A1
axis,noun,A1
baby,noun,A1
babysit,verb,A1
babysitter,noun,A1
back,adjective,A1
back,adverb,A1
back,noun,A1
back,verb,A1
backache,noun,A1
background,noun,A1
backpack,noun,A1
backpacker,noun,A1
backpacking,noun,A1
backup,noun,A1
backward/backwards,adverb,A1
backyard,noun,A1
bacon,noun,A1
bad,adjective,A1
badge,noun,A1
badly,adverb,A1
badminton,noun,A1
bad-tempered,adjective,A1
bag,noun,A1
baggage,noun,A1
bake,verb,A1
baker,noun,A1
bakery,noun,A1
balance,noun,A1
balance,verb,A1
balanced,adjective,A1
balcony,noun,A1
bald,adjective,A1
balky,adjective,A1
ball,noun,A1
ballad,noun,A1
ballet,noun,A1
balloon,noun,A1
ballot,noun,A1
ban,noun,A1
ban,verb,A1
banana,noun,A1
band,noun,A1
bandage,noun,A1
bang,noun,A1
bang,verb,A1
bank,noun,A1
bank,verb,A1
bank account,noun,A1
banker,noun,A1
banking,noun,A1
bankrupt,verb,A1
bankruptcy,noun,A1
bar,noun,A1
bar,verb,A1
barbecue,noun,A1
barbecue,verb,A1
barber,noun,A1
barbershop,noun,A1
bare,adjective,A1
bare,verb,A1
barely,adverb,A1
bargain,noun,A1
bargain,verb,A1
bark,noun,A1
bark,verb,A1
barley,noun,A1
barman,noun,A1
barn,noun,A1
barometer,noun,A1
barrel,noun,A1
barren,adjective,A1
barrier,noun,A1
bartender,noun,A1
base,noun,A1
base,verb,A1
baseball,noun,A1
basement,noun,A1
basic,adjective,A1
basically,adverb,A1
basin,noun,A1
basis,noun,A1
basket,noun,A1
basketball,noun,A1
bat,noun,A1
bat,verb,A1
batch,noun,A1
bath,noun,A1
bathe,verb,A1
bathhouse,noun,A1
bathroom,noun,A1
battery,noun,A1
battle,noun,A1
battlefield,noun,A1
bay,noun,A1
be,be-verb,A1
beach,noun,A1
beagle,noun,A1
beak,noun,A1
beam,noun,A1
bean,noun,A1
bear,noun,A1
bear,verb,A1
beard,noun,A1
bearing,noun,A1
beast,noun,A1
beat,noun,A1
beat,verb,A1
beautiful,adjective,A1
beautifully,adverb,A1
beautify,verb,A1
beauty,noun,A1
beaver,noun,A1
because,conjunction,A1
because of,preposition,A1
become,verb,A1
bed,noun,A1
bedroom,noun,A1
bedside,noun,A1
bee,noun,A1
beef,noun,A1
been,be-verb,A1
beer,noun,A1
before,adverb,A1
before,conjunction,A1
before,preposition,A1
beg,verb,A1
begin,verb,A1
beginner,noun,A1
beginning,noun,A1
behalf,noun,A1
behave,verb,A1
behavior/behaviour,noun,A1
behind,adverb,A1
behind,preposition,A1
being,noun,A1
belief,noun,A1
believe,verb,A1
bell,noun,A1
bellow,verb,A1
belly,noun,A1
belong,verb,A1
belongings,noun,A1
beloved,adjective,A1
below,adverb,A1
below,preposition,A1
belt,noun,A1
bench,noun,A1
bend,noun,A1
bend,verb,A1
beneath,preposition,A1
beneficial,adjective,A1
benefit,noun,A1
benefit,verb,A1
benevolence,noun,A1
benevolent,adjective,A1
bent,adjective,A1
berry,noun,A1
beside,preposition,A1
besides,adverb,A1
besides,preposition,A1
best,adjective,A1
best,adverb,A1
bestow,verb,A1
bestseller,noun,A1
bet,verb,A1
betray,verb,A1
better,adjective,A1
better,adverb,A1
between,preposition,A1
bewilder,verb,A1
bewilderment,noun,A1
beyond,preposition,A1
bicycle,noun,A1
bid,verb,A1
bidding,noun,A1
big,adjective,A1
bike,noun,A1
bikini,noun,A1
bilingual,adjective,A1
bill,noun,A1
bill,verb,A1
billion,noun,A1
bin,noun,A1
bind,verb,A1
bio,noun,A1
biochemistry,noun,A1
biography,noun,A1
biological,adjective,A1
biology,noun,A1
biotechnology,noun,A1
bird,noun,A1
birdcage,noun,A1
birth,noun,A1
birthday,noun,A1
birthplace,noun,A1
biscuit,noun,A1
bishop,noun,A1
bit,noun,A1
bite,noun,A1
bite,verb,A1
bitter,adjective,A1
bitterly,adverb,A1
bizarre,adjective,A1
black,adjective,A1
black,noun,A1
blackboard,noun,A1
blade,noun,A1
blame,noun,A1
blame,verb,A1
blank,adjective,A1
blanket,noun,A1
blast,noun,A1
blast,verb,A1
blaze,noun,A1
blaze,verb,A1
bleed,verb,A1
blend,noun,A1
blend,verb,A1
bless,verb,A1
blessing,noun,A1
blind,adjective,A1
blindly,adverb,A1
blindness,noun,A1
blink,verb,A1
block,noun,A1
block,verb,A1
blog,noun,A1
blogger,noun,A1
blonde,adjective,A1
blood,noun,A1
bloodstream,noun,A1
bloody,adjective,A1
bloody,adverb,A1
bloom,noun,A1
blooming,adjective,A1
blossom,noun,A1
blow,noun,A1
blow,verb,A1
blue,adjective,A1
blue,noun,A1
blur,verb,A1
blurt,noun,A1
blush,noun,A1
blush,verb,A1
board,noun,A1
board,verb,A1
board game,noun,A1
boast,verb,A1
boat,noun,A1
body,noun,A1
boil,verb,A1
boiled,adjective,A1
boiling,adjective,A1
bold,adjective,A1
bold,noun,A1
boldly,adverb,A1
bolt,noun,A1
bolt,verb,A1
bomb,noun,A1
bomb,verb,A1
bombard,noun,A1
bomber,noun,A1
bombing,noun,A1
bond,noun,A1
bone,noun,A1
bonus,noun,A1
bony,adjective,A1
book,noun,A1
book,verb,A1
bookcase,noun,A1
booking,noun,A1
bookish,adjective,A1
booklet,noun,A1
bookmark,noun,A1
bookmark,verb,A1
bookshelf,noun,A1
bookshop,noun,A1
bookstore,noun,A1
boom,noun,A1
boost,noun,A1
boost,verb,A1
boot,noun,A1
booth,noun,A1
border,noun,A1
bore,verb,A1
bored,adjective,A1
boredom,noun,A1
boring,adjective,A1
borrow,verb,A1
boss,noun,A1
bossy,adjective,A1
botany,noun,A1
both,adverb,A1
both,determiner,A1
both,pronoun,A1
bother,noun,A1
bother,verb,A1
bothered,adjective,A1
bothersome,adjective,A1
bottle,noun,A1
bottle,verb,A1
bottom,noun,A1
bounce,noun,A1
bounce,verb,A1
bound,adjective,A1
bourbon,noun,A1
bow,noun,A1
bow,verb,A1
bowl,noun,A1
bowl,verb,A1
box,noun,A1
boxer,noun,A1
boxing,noun,A1
boy,noun,A1
boyfriend,noun,A1
bra,noun,A1
bracelet,noun,A1
bracket,noun,A1
brag,noun,A1
brain,noun,A1
brainstorm,noun,A1
brainstorming,noun,A1
brake,noun,A1
brake,verb,A1
branch,noun,A1
branch,verb,A1
brand,noun,A1
brand-new,adjective,A1
brass,noun,A1
brave,adjective,A1
bravely,adverb,A1
bravery,noun,A1
bread,noun,A1
break,noun,A1
break,verb,A1
breakable,adjective,A1
breakdown,noun,A1
breakfast,noun,A1
breakthrough,noun,A1
breakup,noun,A1
breast,noun,A1
breath,noun,A1
breathe,verb,A1
breathless,adjective,A1
breathtaking,adjective,A1
breed,noun,A1
breed,verb,A1
breeding,noun,A1
breeze,noun,A1
breezy,adjective,A1
brewery,noun,A1
brick,noun,A1
bride,noun,A1
bridge,noun,A1
brief,adjective,A1
briefly,adverb,A1
bright,adjective,A1
brightly,adverb,A1
brilliant,adjective,A1
brilliantly,adverb,A1
bring,verb,A1
broad,adjective,A1
broadband,noun,A1
broadcast,noun,A1
broadcast,verb,A1
broadcaster,noun,A1
broaden,verb,A1
broadly,adverb,A1
broccoli,noun,A1
brochure,noun,A1
broken,adjective,A1
bronze,noun,A1
brother,noun,A1
brotherhood,noun,A1
brother-in-law,noun,A1
brown,adjective,A1
brown,noun,A1
browse,verb,A1
browser,noun,A1
bruise,noun,A1
brush,noun,A1
brush,verb,A1
bubble,noun,A1
bucket,noun,A1
bud,noun,A1
buddy,noun,A1
budget,adjective,A1
budget,noun,A1
bug,noun,A1
build,verb,A1
builder,noun,A1
building,noun,A1
bulb,noun,A1
bulimia,noun,A1
bull,noun,A1
bullet,noun,A1
bulletin,noun,A1
bully,verb,A1
bum,noun,A1
bump,verb,A1
bumper,noun,A1
bun,noun,A1
bunch,noun,A1
burden,noun,A1
burden,verb,A1
burdensome,adjective,A1
bureau,noun,A1
bureaucracy,noun,A1
burger,noun,A1
burglar,noun,A1
burglary,noun,A1
burgle,verb,A1
burial,noun,A1
burn,noun,A1
burn,verb,A1
burning,adjective,A1
burst,verb,A1
bury,verb,A1
bus,noun,A1
bus station,noun,A1
bus stop,noun,A1
bush,noun,A1
business,noun,A1
businessman,noun,A1
businesswoman,noun,A1
bust,verb,A1
bustle,verb,A1
bustling,adjective,A1
busy,adjective,A1
but,conjunction,A1
but,preposition,A1
butcher,noun,A1
butcher,verb,A1
butter,noun,A1
butterfly,noun,A1
button,noun,A1
buy,verb,A1
buyer,noun,A1
buzz,noun,A1
buzz,verb,A1
by,preposition,A1
bye,noun,A1
cab,noun,A1
cabbage,noun,A1
cabin,noun,A1
cabinet,noun,A1
cable,noun,A1
cafe/cafÁE©,noun,A1
cafeteria,noun,A1
cage,noun,A1
cake,noun,A1
calculate,verb,A1
calculation,noun,A1
calculator,noun,A1
calendar,noun,A1
calf,noun,A1
call,noun,A1
call,verb,A1
caller,noun,A1
calm,adjective,A1
calmly,adverb,A1
calmness,noun,A1
camel,noun,A1
camera,noun,A1
camp,noun,A1
camp,verb,A1
campaign,noun,A1
camping,noun,A1
campsite,noun,A1
campus,noun,A1
can,modal auxiliary,A1
can,noun,A1
canal,noun,A1
cancel,verb,A1
cancer,noun,A1
candidate,noun,A1
candle,noun,A1
candy,noun,A1
cane,noun,A1
canned,adjective,A1
cannonball,noun,A1
canon,noun,A1
canteen,noun,A1
cap,noun,A1
capability,noun,A1
capable,adjective,A1
capacity,noun,A1
capital,noun,A1
capital letter,noun,A1
capsule,noun,A1
captain,noun,A1
caption,noun,A1
captive,noun,A1
capture,noun,A1
capture,verb,A1
car,noun,A1
car park,noun,A1
caravan,noun,A1
carbon,noun,A1
carbon dioxide,noun,A1
carbon footprint,noun,A1
carbon monoxide,noun,A1
card,noun,A1
cardboard,noun,A1
cardigan,noun,A1
care,noun,A1
care,verb,A1
career,noun,A1
carefree,adjective,A1
careful,adjective,A1
carefully,adverb,A1
careless,adjective,A1
carelessly,adverb,A1
carelessness,noun,A1
caring,adjective,A1
carnival,noun,A1
carpet,noun,A1
carpool,noun,A1
carriage,noun,A1
carrot,noun,A1
carry,verb,A1
carton,noun,A1
cartoon,noun,A1
carve,verb,A1
cascade,noun,A1
case,noun,A1
cash,noun,A1
cashpoint,noun,A1
cassette,noun,A1
cast,noun,A1
cast,verb,A1
castle,noun,A1
casual,adjective,A1
casually,adverb,A1
cat,noun,A1
catalog/catalogue,noun,A1
catalyst,noun,A1
catastrophe,noun,A1
catastrophic,adjective,A1
catch,noun,A1
catch,verb,A1
catchy,adjective,A1
categorization/categorisation,noun,A1
categorize/categorise,verb,A1
category,noun,A1
catering,noun,A1
cathedral,noun,A1
cattle,noun,A1
cause,noun,A1
cause,verb,A1
caution,noun,A1
cautious,adjective,A1
cave,noun,A1
CD,noun,A1
CD player,noun,A1
CD-ROM,noun,A1
cease,verb,A1
ceiling,noun,A1
celebrate,verb,A1
celebration,noun,A1
celebrity,noun,A1
cell,noun,A1
cellar,noun,A1
cellist,noun,A1
cello,noun,A1
cemetery,noun,A1
cent,noun,A1
center/centre,noun,A1
centigrade,noun,A1
centimeter/centimetre,noun,A1
central,adjective,A1
central heating,noun,A1
century,noun,A1
cereal,noun,A1
ceremony,noun,A1
certain,adjective,A1
certainly,adverb,A1
certainty,noun,A1
certificate,noun,A1
certification,noun,A1
certify,verb,A1
chain,noun,A1
chair,noun,A1
chairman,noun,A1
challenge,noun,A1
challenge,verb,A1
challenging,adjective,A1
champagne,noun,A1
champion,noun,A1
championship,noun,A1
chance,noun,A1
chancellor,noun,A1
change,noun,A1
change,verb,A1
channel,noun,A1
chaos,noun,A1
chaotic,adjective,A1
chapter,noun,A1
character,noun,A1
characteristic,adjective,A1
characteristic,noun,A1
characterize/characterise,verb,A1
charge,noun,A1
charge,verb,A1
chariot,noun,A1
charity,noun,A1
charm,noun,A1
charming,adjective,A1
chart,noun,A1
chase,noun,A1
chase,verb,A1
chat,noun,A1
chat,verb,A1
chat show,noun,A1
cheap,adjective,A1
cheat,verb,A1
check,noun,A1
check,verb,A1
check-in counter/check-in,noun,A1
check-in desk/check-in,noun,A1
checkout,noun,A1
checkpoint,noun,A1
cheek,noun,A1
cheeky,adjective,A1
cheer,verb,A1
cheerful,adjective,A1
cheerfully,adverb,A1
cheerfulness,noun,A1
cheese,noun,A1
chef,noun,A1
chemical,adjective,A1
chemical,noun,A1
chemist,noun,A1
chemistry,noun,A1
chemotherapy,noun,A1
cheque,noun,A1
cherish,verb,A1
cherished,adjective,A1
cherry,noun,A1
chess,noun,A1
chest,noun,A1
chest of drawers,noun,A1
chew,verb,A1
chewing gum,noun,A1
chicken,noun,A1
chief,adjective,A1
chief,noun,A1
child,noun,A1
childhood,noun,A1
childish,adjective,A1
chili/chilli,noun,A1
chimney,noun,A1
chimpanzee,noun,A1
chin,noun,A1
chip,noun,A1
chirp,noun,A1
chocolate,noun,A1
choice,noun,A1
choir,noun,A1
choke,verb,A1
choose,verb,A1
chop,verb,A1
Christian,adjective,A1
chronological,adjective,A1
chuckle,noun,A1
chunk,noun,A1
church,noun,A1
cigarette,noun,A1
cinema,noun,A1
circle,noun,A1
circle,verb,A1
circuit,noun,A1
circuitry,noun,A1
circular,adjective,A1
circumstance,noun,A1
circus,noun,A2
citizen,noun,A2
citizenship,noun,A2
city,noun,A2
citywide,adjective,A2
civil,adjective,A2
civilization/civilisation,noun,A2
claim,noun,A2
claim,verb,A2
clam,noun,A2
clap,verb,A2
clarify,verb,A2
class,noun,A2
classic,adjective,A2
classic,noun,A2
classical,adjective,A2
classical music,noun,A2
classification,noun,A2
classify,verb,A2
classmate,noun,A2
classroom,noun,A2
clause,noun,A2
clean,adjective,A2
clean,verb,A2
cleaner,noun,A2
clear,adjective,A2
clear,verb,A2
clearly,adverb,A2
clearness,noun,A2
clerical,adjective,A2
clerk,noun,A2
clever,adjective,A2
click,noun,A2
click,verb,A2
client,noun,A2
cliff,noun,A2
climate,noun,A2
climate change,noun,A2
climb,noun,A2
climb,verb,A2
climber,noun,A2
climbing,noun,A2
clinic,noun,A2
clip,noun,A2
clock,noun,A2
clog,verb,A2
clone,verb,A2
close,adjective,A2
close,verb,A2
closed,adjective,A2
closely,adverb,A2
closure,noun,A2
cloth,noun,A2
clothes,noun,A2
clothing,noun,A2
cloud,noun,A2
cloudy,adjective,A2
clown,noun,A2
club,noun,A2
clue,noun,A2
clumsy,adjective,A2
coach,noun,A2
coach,verb,A2
coaching,noun,A2
coal,noun,A2
coalition,noun,A2
coarse,adjective,A2
coast,noun,A2
coast,verb,A2
coastal,adjective,A2
coastline,noun,A2
coat,noun,A2
cocktail,noun,A2
cocoa,noun,A2
coconut,noun,A2
cod,noun,A2
code,noun,A2
coffee,noun,A2
coffin,noun,A2
coherence,noun,A2
coherent,adjective,A2
coin,noun,A2
coincide,verb,A2
coincidence,noun,A2
coke,noun,A2
cola,noun,A2
cold,adjective,A2
cold,noun,A2
collapse,noun,A2
collapse,verb,A2
collar,noun,A2
colleague,noun,A2
collect,verb,A2
collection,noun,A2
collector,noun,A2
college,noun,A2
collocation,noun,A2
colon,noun,A2
colonial,adjective,A2
color/colour,noun,A2
color/colour,verb,A2
colorful/colourful,adjective,A2
column,noun,A2
columnist,noun,A2
coma,noun,A2
comb,noun,A2
comb,verb,A2
combination,noun,A2
combine,verb,A2
come,verb,A2
comedian,noun,A2
comedy,noun,A2
comet,noun,A2
comfort,noun,A2
comfortable,adjective,A2
comfortably,adverb,A2
comic,adjective,A2
comic,noun,A2
comma,noun,A2
command,noun,A2
commander,noun,A2
commemorate,verb,A2
comment,noun,A2
comment,verb,A2
commerce,noun,A2
commercial,adjective,A2
commercial,noun,A2
commission,noun,A2
commit,verb,A2
commitment,noun,A2
committee,noun,A2
common,adjective,A2
common sense,noun,A2
commonly,adverb,A2
commonwealth,noun,A2
communicate,verb,A2
communication,noun,A2
communicative,adjective,A2
community,noun,A2
commute,verb,A2
companion,noun,A2
company,noun,A2
comparative,noun,A2
compare,verb,A2
comparison,noun,A2
compassion,noun,A2
compassionate,adjective,A2
compatible,adjective,A2
compensate,verb,A2
compensation,noun,A2
compete,verb,A2
competence,noun,A2
competent,adjective,A2
competition,noun,A2
competitive,adjective,A2
competitor,noun,A2
compile,verb,A2
complain,verb,A2
complaint,noun,A2
complement,noun,A2
complete,adjective,A2
complete,verb,A2
completely,adverb,A2
completion,noun,A2
complex,adjective,A2
complexion,noun,A2
complexity,noun,A2
complicate,verb,A2
complicated,adjective,A2
compliment,noun,A2
component,noun,A2
compose,verb,A2
composer,noun,A2
composition,noun,A2
compound,noun,A2
comprehension,noun,A2
comprehensive,adjective,A2
compress,noun,A2
compression,noun,A2
compromise,noun,A2
compromise,verb,A2
compulsory,adjective,A2
compute,verb,A2
computer,noun,A2
conceal,verb,A2
concede,verb,A2
conceit,noun,A2
conceivable,adjective,A2
conceive,verb,A2
concentrate,verb,A2
concentration,noun,A2
concept,noun,A2
conception,noun,A2
concern,noun,A2
concern,verb,A2
concerned,adjective,A2
concerning,preposition,A2
concert,noun,A2
concession,noun,A2
conclude,verb,A2
conclusion,noun,A2
concrete,adjective,A2
concrete,noun,A2
condemn,verb,A2
condition,noun,A2
conduct,noun,A2
conduct,verb,A2
conductor,noun,A2
cone,noun,A2
conference,noun,A2
conferencing,noun,A2
confess,verb,A2
confession,noun,A2
confidence,noun,A2
confident,adjective,A2
confidently,adverb,A2
confine,verb,A2
confirm,verb,A2
confirmation,noun,A2
conflict,noun,A2
confront,verb,A2
confuse,verb,A2
confused,adjective,A2
confusing,adjective,A2
confusion,noun,A2
congratulate,verb,A2
conjunction,noun,A2
connect,verb,A2
connection/connexion,noun,A2
conquer,verb,A2
conquest,noun,A2
conscience,noun,A2
conscious,adjective,A2
consciousness,noun,A2
consensus,noun,A2
consent,noun,A2
